airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,3,1,1,2,4,1,35.08,12,12740
1,3,1,1,2,4,1,35.08,15,10010
1,3,1,0,2,4,1,35.08,17,7229
1,3,1,0,2,4,1,35.08,19,6942
1,3,1,0,2,4,1,35.08,22,6732
1,3,1,0,2,4,1,35.08,24,7047
1,3,1,0,2,4,1,35.08,26,6312
1,3,1,0,2,4,1,35.08,29,6732
1,3,1,0,2,4,1,35.08,31,7047
1,3,1,0,2,4,1,35.08,33,7047
1,3,1,0,2,4,1,35.08,36,6312
1,3,1,0,2,4,1,35.08,38,7310
1,3,1,0,2,4,1,35.08,40,6312
1,3,1,0,2,4,1,35.08,43,6942
5,4,1,0,2,0,0,35.08,3,82729
5,4,1,0,2,0,0,35.08,4,67710
5,4,1,0,2,0,0,35.08,6,67710
5,4,1,0,2,0,0,35.08,16,67710
5,4,1,0,2,0,0,35.08,17,67710
5,4,1,0,2,0,0,35.08,20,67710
5,4,1,0,2,0,0,35.08,22,67710
5,4,1,0,2,0,0,35.08,23,75550
5,4,1,0,2,0,0,35.08,24,77521
5,4,1,0,2,0,0,35.08,27,67710
5,4,1,0,2,0,0,35.08,30,67710
5,4,1,0,2,0,0,35.08,31,82729
5,4,1,0,2,0,0,35.08,34,67710
5,4,1,0,2,0,0,35.08,37,67710
5,4,1,0,2,0,0,35.08,38,67710
5,4,1,0,2,0,0,35.08,41,67710
5,4,1,0,2,0,0,35.08,44,67710
5,4,1,0,2,0,0,35.08,45,67710
5,4,1,0,2,0,0,35.08,46,67710
5,4,1,0,2,0,0,35.08,48,67710
1,0,0,1,5,3,1,34.92,5,21131
1,0,0,1,5,3,1,34.92,12,14936
1,0,0,1,5,3,1,34.92,19,8340
1,0,0,1,5,3,1,34.92,26,7920
1,0,0,1,5,3,1,34.92,33,9810
1,0,0,1,5,3,1,34.92,40,7395
1,4,1,0,2,0,1,34.92,2,15869
1,4,1,0,2,0,1,34.92,3,14504
1,3,1,0,2,5,1,34.92,5,12499
1,3,1,0,2,5,1,34.92,12,12499
1,1,1,1,2,0,1,34.92,16,12863
1,1,1,0,2,0,1,34.92,17,7267
5,2,4,1,2,4,1,34.83,3,18927
5,2,4,1,2,1,1,34.83,1,18757
5,2,4,1,2,1,1,34.83,2,19597
5,2,4,1,2,1,1,34.83,3,19597
1,3,4,1,5,5,1,34.83,2,15252
1,3,4,1,5,5,1,34.83,3,13173
1,3,4,0,5,5,1,34.83,9,11829
1,1,4,0,5,5,1,34.83,13,13971
1,1,4,0,5,5,1,34.83,15,12375
1,1,4,0,5,5,1,34.83,16,8193
1,1,4,0,5,5,1,34.83,17,7448
1,1,4,0,5,5,1,34.83,19,6408
1,1,4,0,5,5,1,34.83,21,5778
1,1,4,0,5,5,1,34.83,24,7038
1,1,4,0,5,5,1,34.83,26,5778
1,1,4,0,5,5,1,34.83,33,5558
1,1,4,0,5,5,1,34.83,37,6093
1,1,4,0,5,5,1,34.83,38,6818
1,0,0,1,5,3,1,34.75,9,15860
1,0,0,1,5,3,1,34.75,16,9390
1,4,1,0,2,0,1,34.75,38,7294
1,4,0,0,3,0,1,34.67,4,12792
1,4,0,0,3,0,1,34.67,11,12792
1,5,1,0,2,3,1,34.58,7,11639
1,5,1,0,2,3,1,34.58,14,10747
1,5,1,0,2,3,1,34.58,15,10747
1,5,1,0,2,3,1,34.58,16,9323
1,0,0,1,5,3,1,34.58,14,14936
1,0,0,1,5,1,1,34.58,8,16553
1,0,0,1,5,1,1,34.58,8,18979
1,0,1,0,2,1,1,34.58,44,5835
1,4,1,0,2,3,1,34.58,2,15619
1,4,1,1,2,3,1,34.58,3,12185
1,4,0,1,5,3,1,34.58,3,13495
1,4,1,0,2,3,1,34.58,4,12605
1,4,1,0,2,3,1,34.58,7,12185
1,4,1,0,2,3,1,34.58,9,13183
1,4,1,0,2,3,1,34.58,10,12185
1,4,1,1,2,3,1,34.58,14,11293
1,4,1,1,2,3,1,34.58,15,11293
1,4,1,0,2,3,1,34.58,17,9035
1,4,0,1,5,1,1,34.58,3,15690
1,4,0,1,5,1,1,34.58,5,14188
1,4,0,1,5,1,1,34.58,7,15133
1,4,0,1,5,1,1,34.58,8,13873
1,4,0,1,5,1,1,34.58,10,13873
1,4,0,1,5,1,1,34.58,12,13873
1,4,0,1,5,1,1,34.58,14,14451
1,4,0,1,5,1,1,34.58,15,13303
1,4,0,1,5,1,1,34.58,17,7543
1,4,0,1,5,1,1,34.58,24,6913
1,0,1,1,2,1,0,34.58,44,51114
1,5,1,1,2,0,1,34.5,31,7766
1,5,1,0,2,3,1,34.5,7,11639
1,5,1,0,2,3,1,34.5,14,10747
1,5,1,0,2,3,1,34.5,16,8063
1,5,1,0,2,3,1,34.5,21,8063
5,0,1,0,2,3,1,34.5,7,16098
1,3,4,1,5,5,1,34.5,3,13173
1,1,1,0,2,0,1,34.5,46,7325
1,1,1,1,2,0,0,34.5,46,54986
1,3,0,0,5,5,1,34.42,4,10967
1,1,0,1,5,2,1,34.42,3,13968
1,1,0,1,5,2,1,34.42,4,13968
5,3,4,0,5,4,0,34.42,2,64733
1,0,4,0,5,5,1,34.33,1,20827
1,0,4,0,5,5,1,34.33,5,13162
1,0,4,0,5,5,1,34.33,6,13477
1,0,4,0,5,5,1,34.33,8,13162
1,0,4,0,5,5,1,34.33,10,13740
1,0,4,0,5,5,1,34.33,12,13162
1,0,4,0,5,5,1,34.33,14,14370
5,0,0,1,5,1,1,34.33,44,7229
5,0,0,1,5,1,1,34.33,44,9847
1,4,4,1,5,5,1,34.33,2,12939
5,0,0,1,5,1,0,34.33,5,59106
5,0,0,1,5,1,0,34.33,7,66778
5,0,0,1,5,1,0,34.33,9,59106
5,0,0,1,5,1,0,34.33,12,63362
5,0,0,1,5,1,0,34.33,14,63362
5,0,0,1,5,1,0,34.33,16,59106
5,0,0,1,5,1,0,34.33,16,67842
5,0,0,1,5,1,0,34.33,17,67842
5,0,0,1,5,1,0,34.33,19,63362
5,0,0,1,5,1,0,34.33,21,63362
5,0,0,1,5,1,0,34.33,23,59106
5,0,0,1,5,1,0,34.33,24,67842
5,0,0,1,5,1,0,34.33,26,59106
5,0,0,1,5,1,0,34.33,28,59106
5,0,0,1,5,1,0,34.33,30,59106
5,0,0,1,5,1,0,34.33,30,63362
5,0,0,1,5,1,0,34.33,31,63362
5,0,0,1,5,1,0,34.33,33,59106
